date,tag,comment,unit,type,left max weight,right max weight
2024-17-11 17:38:51,test_halfcrimp_power,#24;session_end,I,left/right,83.6208741,83.9381654
2024-17-11 17:37:00,test_halfcrimp_power,#49;session_end,I,left/right,108.2663943,107.3420379
2024-17-11 17:35:02,test_halfcrimp_power,#130;session_end,I,left/right,159.3008547,149.6039935
2024-17-11 17:33:27,test_halfcrimp_power,#130;session_end,I,left/right,146.9789062,143.1104723
2024-17-11 17:31:07,test_halfcrimp_power,#105;session_end,I,left/right,150.6889635,147.9772198
2024-17-11 17:26:52,test_halfcrimp_power,#106;session_end,I,left/right,153.3334611,154.2825932
2024-17-11 17:23:29,test_halfcrimp_power,#84;session_end,I,left/right,132.9076170,130.5986940
2024-12-11 21:47:44,train_halfcrimp_power,#52,I,left/right,107.5135256,106.9125324
2024-12-11 21:36:35,train_halfcrimp_power,#73,I,left/right,123.7963587,117.2103951
2024-06-11 19:15:17,test_halfcrimp_power,#111;session_end,I,left/right,135.6080661,134.3674024
2024-06-11 19:11:18,test_halfcrimp_power,#81;session_end,I,left/right,127.1425504,125.5867147
2024-06-11 19:06:30,test_halfcrimp_power,#62;session_end,I,left/right,122.1211772,121.8597113
2024-06-11 19:03:17,train_halfcrimp_power,#67;session_end,I,left/right,113.4759153,118.7634807
2024-05-11 18:18:02,test_halfcrimp_power,#62;session_end,I,left/right,115.2999953,115.9947091
2024-05-11 18:15:12,test_halfcrimp_power,#105,I,left/right,150.0037866,158.9858173
2024-05-11 18:08:14,test_halfcrimp_power,#77,I,left/right,139.5882768,140.1625263
2024-29-10 20:14:04,test_3FDrag,session_end,I,left/right,101.7313867,104.8995225
2024-29-10 20:12:09,test_openhand,session_end,I,left/right,127.2877821,123.8604343
2024-29-10 20:09:09,test_halfcrimp,session_end,I,left/right,138.1923567,132.5973733
2024-29-10 20:02:57,test_halfcrimp,session_end,I,left/right,127.5244891,125.5112016
2024-29-10 19:56:09,test_3FDrag,session_end,I,left/right,106.5693385,100.6706122
2024-29-10 19:52:53,test_openhand,session_end,I,left/right,123.7275484,127.7232923
2024-29-10 17:50:17,test_openhand,session_start,I,left/right,142.7459002,142.6015851
2024-29-10 17:46:46,test_3FDrag,session_start,I,left/right,128.8574606,135.2741231
2024-29-10 17:43:34,test_halfcrimp,session_start,I,left/right,145.6734605,146.5345234
2024-23-10 18:11:29,test_openhand,session_start,I,left/right,134.4657065,137.9671630
2024-23-10 18:09:56,test_3FDrag,session_start,I,left/right,120.7867172,128.9154641
2024-23-10 18:08:44,test_halfcrimp,session_start,I,left/right,150.6152417,153.2861970
2024-23-10 18:07:30,test_halfcrimp,session_start,I,left/right,147.2339637,156.1284298
2024-21-10 19:43:42,test_openhand,session_end,I,left/right,115.3928749,111.5691905
2024-21-10 19:41:10,test_halfcrimp,session_end,I,left/right,124.7911486,124.6118985
2024-21-10 19:39:15,test_3FDrag,session_end,I,left/right,105.7575495,111.6063121
2024-21-10 18:26:43,test_halfcrimp10,session_mid,I,left/right,86.2116572,93.1890207
2024-21-10 18:25:19,test_openhand,session_mid,I,left/right,126.5117019,138.2333637
2024-21-10 18:23:03,test_3FDrag,session_mid,I,left/right,116.0146911,123.2548577
2024-21-10 18:20:28,test_3FDrag,session_mid,I,left/right,124.2260072,133.0857401
2024-21-10 18:19:01,test_halfcrimp,session_mid,I,left/right,142.6748360,145.3606938
2024-16-10 19:02:37,training_halfcrimp10,,I,left/right,82.0567042,88.4418882
2024-16-10 18:59:55,training_halfcrimp10,,I,left/right,85.9014892,87.5188690
2024-16-10 18:29:03,test_halfcrimp,,I,left/right,136.2952362,138.9847523
2024-16-10 18:25:15,training_3FDrag,,I,left/right,114.9539839,116.2789828
2024-16-10 18:21:42,training_halfcrimp,,I,left/right,135.8777317,140.8209090
